OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,Cash,Delivered,TRK99261395,10,,Email,2683.6
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08
ORD200046,2024-06-26,C43212,Monitor,4,550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56
ORD200059,2024-09-11,C97603,Chair,4,593.27,811 Main St,Online,Shipped,TRK47055028,5,,Facebook,2373.08
ORD200072,2024-12-22,C19451,Tablet,4,589.44,942 Main St,Gift Card,Returned,TRK87787793,5,,Facebook,2357.76
ORD200082,2024-01-05,C65799,Tablet,4,565.2,971 Main St,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2260.8
ORD200083,2023-08-22,C15681,Laptop,4,540.41,989 Main St,Credit Card,Cancelled,TRK75112172,6,,Referral,2161.64
ORD200086,2024-06-19,C88205,Printer,5,643.03,447 Main St,Online,Cancelled,TRK93504166,5,FREESHIP,Referral,3215.15
ORD200089,2025-02-25,C17181,Printer,5,455.33,291 Main St,Credit Card,Cancelled,TRK78912978,8,FREESHIP,Google,2276.65
ORD200091,2023-03-15,C98216,Laptop,5,492.75,196 Main St,Cash,Shipped,TRK40986666,6,WINTER15,Referral,2463.75
ORD200097,2025-01-21,C15624,Tablet,5,619.52,922 Main St,Debit Card,Pending,TRK40621141,9,,Email,3097.6
ORD200107,2023-03-27,C16775,Printer,5,670.75,848 Main St,Gift Card,Shipped,TRK34392124,8,FREESHIP,Instagram,3353.75
ORD200114,2025-01-27,C77272,Monitor,5,498.48,115 Main St,Online,Pending,TRK29708128,8,SAVE10,Google,2492.4
ORD200118,2023-10-09,C27898,Printer,5,502.71,807 Main St,Gift Card,Shipped,TRK61957665,7,FREESHIP,Google,2513.55
ORD200120,2023-04-11,C58108,Tablet,4,629.34,986 Main St,Cash,Cancelled,TRK66218053,4,WINTER15,Instagram,2517.36
ORD200141,2023-11-18,C80004,Printer,3,684.14,151 Main St,Cash,Cancelled,TRK66230753,3,WINTER15,Instagram,2052.42
ORD200151,2023-12-01,C32960,Printer,5,444.76,947 Main St,Debit Card,Returned,TRK91226500,7,,Email,2223.8
ORD200153,2024-12-18,C71570,Chair,4,534.48,437 Main St,Online,Returned,TRK95992269,9,WINTER15,Instagram,2137.92
ORD200164,2023-12-28,C70566,Desk,5,536.58,667 Main St,Gift Card,Pending,TRK49673411,5,SAVE10,Google,2682.9
ORD200170,2025-04-04,C80223,Desk,4,662.94,535 Main St,Cash,Cancelled,TRK68632951,8,SAVE10,Instagram,2651.76
ORD200174,2024-04-16,C51145,Printer,4,600.81,790 Main St,Debit Card,Delivered,TRK59154274,9,SAVE10,Email,2403.24
ORD200177,2023-08-05,C55632,Chair,5,431.69,354 Main St,Credit Card,Pending,TRK13003066,10,,Facebook,2158.45
ORD200178,2024-04-11,C53070,Chair,4,512.06,283 Main St,Online,Delivered,TRK49791755,5,SAVE10,Google,2048.24
ORD200181,2024-08-31,C38966,Printer,5,404.39,247 Main St,Online,Shipped,TRK17205146,10,,Referral,2021.95
ORD200189,2023-07-05,C48939,Printer,5,429.45,597 Main St,Gift Card,Cancelled,TRK62786764,5,WINTER15,Email,2147.25
ORD200200,2025-06-07,C97681,Tablet,5,433.26,895 Main St,Credit Card,Delivered,TRK37531040,9,SAVE10,Google,2166.3
ORD200221,2024-02-23,C93473,Tablet,5,639.37,552 Main St,Debit Card,Pending,TRK50003989,6,SAVE10,Google,3196.85
ORD200222,2023-05-04,C43124,Chair,4,693.36,931 Main St,Online,Shipped,TRK17293348,8,,Instagram,2773.44
ORD200223,2024-09-11,C22783,Phone,4,692.91,673 Main St,Credit Card,Pending,TRK55009149,9,SAVE10,Instagram,2771.64
ORD200241,2023-05-16,C20817,Chair,5,615.67,407 Main St,Online,Pending,TRK44164590,6,SAVE10,Email,3078.35
ORD200252,2024-09-20,C19648,Phone,4,668.36,821 Main St,Gift Card,Cancelled,TRK51297879,5,FREESHIP,Facebook,2673.44
ORD200266,2024-06-08,C38840,Chair,4,583.07,589 Main St,Credit Card,Cancelled,TRK48484633,6,FREESHIP,Referral,2332.28
ORD200267,2025-04-17,C84480,Chair,5,468.51,803 Main St,Debit Card,Delivered,TRK62361867,9,,Facebook,2342.55
ORD200269,2023-11-25,C48942,Tablet,4,663.67,129 Main St,Credit Card,Pending,TRK29355120,7,FREESHIP,Google,2654.68
ORD200281,2023-07-27,C87181,Desk,4,654.79,195 Main St,Cash,Pending,TRK60093390,9,,Referral,2619.16
ORD200282,2025-04-22,C30411,Printer,4,637.79,375 Main St,Gift Card,Cancelled,TRK71810536,9,FREESHIP,Google,2551.16
ORD200283,2025-02-28,C39638,Laptop,4,540.33,990 Main St,Cash,Shipped,TRK69745608,6,,Google,2161.32
ORD200287,2023-11-24,C70437,Chair,4,655.18,630 Main St,Online,Shipped,TRK26628830,5,,Facebook,2620.72
ORD200288,2023-03-12,C97643,Laptop,4,512.75,537 Main St,Debit Card,Returned,TRK60831391,8,WINTER15,Google,2051.0
ORD200296,2024-06-19,C48453,Desk,5,638.8,434 Main St,Debit Card,Cancelled,TRK52110494,10,WINTER15,Referral,3194.0
ORD200304,2024-10-18,C86762,Monitor,5,408.73,326 Main St,Gift Card,Delivered,TRK75686292,10,FREESHIP,Instagram,2043.65
ORD200309,2023-10-03,C63153,Chair,4,549.76,625 Main St,Debit Card,Delivered,TRK38033305,4,FREESHIP,Facebook,2199.04
ORD200311,2025-05-17,C71698,Desk,5,489.37,274 Main St,Online,Returned,TRK34786818,8,,Instagram,2446.85
ORD200326,2024-07-01,C65986,Laptop,5,670.48,273 Main St,Gift Card,Returned,TRK98353867,5,SAVE10,Facebook,3352.4
ORD200328,2023-02-28,C18404,Tablet,5,674.04,546 Main St,Online,Cancelled,TRK89401624,7,SAVE10,Google,3370.2
ORD200340,2023-04-23,C76207,Laptop,5,521.25,826 Main St,Cash,Cancelled,TRK25569378,8,,Email,2606.25
ORD200342,2025-06-24,C69994,Monitor,5,466.42,619 Main St,Gift Card,Returned,TRK95935805,5,,Referral,2332.1
ORD200345,2023-12-07,C24751,Tablet,5,501.26,259 Main St,Gift Card,Shipped,TRK37285406,10,FREESHIP,Referral,2506.3
ORD200357,2023-07-08,C74982,Laptop,5,408.56,398 Main St,Debit Card,Delivered,TRK98700702,8,FREESHIP,Instagram,2042.8
ORD200359,2023-06-09,C95643,Desk,4,606.57,303 Main St,Debit Card,Delivered,TRK23286689,5,WINTER15,Referral,2426.28
ORD200360,2024-06-06,C53810,Phone,4,589.57,779 Main St,Cash,Pending,TRK34630612,8,,Instagram,2358.28
ORD200361,2024-06-29,C53464,Printer,5,659.85,197 Main St,Credit Card,Delivered,TRK32743531,9,SAVE10,Facebook,3299.25
ORD200364,2023-11-24,C85282,Phone,5,628.74,740 Main St,Cash,Cancelled,TRK86767206,9,FREESHIP,Facebook,3143.7
ORD200367,2024-04-25,C13108,Laptop,5,658.77,712 Main St,Gift Card,Pending,TRK82284400,10,FREESHIP,Instagram,3293.85
